,Reviews
0,Потрясающе полезная и интересная лекция
1,Потрясающая лекция!
2,Замечательные лекции! Спасибо за возможность учиться! ☺️
3,"Обалдеть, качество подачи материала, именно преподнесения в понятной для студента форме, на высшем уровне! Я словно посмотрел лекцию от MIT, только на родном языке) Эх, если б только нам так же качественно преподавали... Мечты, мечты))"
4,"Лучшее объяснение функций, что я видел!"
5,"+ к моему словарю ""Ситуйобина"""
6,"Лайк-лайк-лайк!!!
Дизлайк за работу пьяного оператора!!! Очень по голове бьёт что-то вечно падающее у него..."
7,"А этот человек будет преподавать и в 2024-2025? Если да, то я знаю куда поступать"
8,"Что такое ""simple number""? Это точно МФТИ?"
9,Тимофея Федоровича полюбил с первой же лекции ❤
10,"Эта лекция , как и все остальные видео материалы Тимофея Хирьянова феноменально интересная и понятная❤
...просто здесь пример алгоритма с участием менеджера нужно принять с ссылкой на ""тот"" анекдот, где : инженер-строитель попал на лекцию в мед.институт, где лектор кладет на кафедру 3 черепа и говорит, что они пренадлежат одному и тому же человеку, но в разном возрасте - тогда инженер-строитель его спрашивает "" как у 1 человека может быть 3 черепа - на что лектор отвечает : "" это лекция для студентов мед института😅"" 
Поэтому - это прекрасная лекция❤, но с поправкой, что процесс строительства описан не для архитекторов и инженеров строителей 🎉🎉🎉"
11,"Тут тоже побывали, едем дальше"
12,"Если этот курс выше по информативности другого высшего учебного заведения, то теперь понятно почему столько приматов в нашей стране! Мы всё ниже и ниже плинтуса закрываемся в прогрессе, а вам по кайфу это мыло! Всей страной дебилизируемся !"
13,"Здравствуйте, я прошу контроная робота в пдф. У вас есть?"
14,простое число это prime number а не simple number XD
15,"Повторил функцию которая считает простые числа, в idle ввожу, пишет is not defined. Кто знает в чём причина, подскажите пожалуйста"
16,"Вот бы каждому вузу таких преподователей как Тимофей Харьянов, что значит талант, при такой подаче наверное и мартышке станет интересно, что такое программирование и с чем его едят.Как же повезло студентам кто попал к этому преподователю."
17,шШедеврально
18,"Спасибо, я вас почти люблю"
19,"Справедливости ради простое число на английском будет ""prime number""."
20,Класс!
21,Лучше бы 'prime' вместо 'simple'.
